id,value,GPA
cs100,868,3.75
cs101,3525,3.06
cs105,3320,3.43
cs125,2683,3.43
cs126,34,3.75
cs173,2500,3.06
cs196,751,3.8
cs199,83,3.84
cs210,1009,3.54
cs225,3196,3.09
cs233,1443,2.89
cs241,1314,2.77
cs242,849,3.34
cs296,425,3.61
cs357,1277,2.97
cs361,66,3.37
cs374,397,2.5
cs410,421,3.86
cs411,980,3.26
cs412,632,3.06
cs418,800,3.28
cs419,39,3.5
cs420,144,3.34
cs421,759,3.36
cs423,225,3.64
cs424,88,3.48
cs425,867,3.28
cs426,56,3.39
cs427,471,3.35
cs428,69,3.67
cs429,170,3.44
cs431,314,2.93
cs433,126,3.31
cs438,421,2.97
cs440,868,3.16
cs445,75,3.4
cs446,431,3.35
cs447,106,3.47
cs450,648,3.15
cs460,196,3.62
cs461,765,3.08
cs463,96,3.41
cs465,857,3.11
cs466,172,3.42
cs467,147,3.7
cs473,255,2.73
cs484,64,3.1
cs492,281,3.48
cs493,177,3.59
cs494,50,3.61
cs498 Algorithms and Models of Comp,1140,2.73
cs498 Applied Machine Learning,163,3.72
cs498 The Art of Web Programming,95,3.2
cs498 Computational Photography,28,3.62
cs498 Digital Forensics,93,3.55
cs498 Intro to Data Science,38,3.82
cs498 Mobile Interaction Design,44,3.62
cs498 Probability in CS,206,3.24
cs498 Probability in Computer Sci,76,3.19
cs498 Social & Information Networks,60,3.47
cs498 Software Testing,53,3.47
cs498 Art and Science of Web Prog,178,3.21
cs498 Theory II,221,3.15
cs498 Virtual Reality,461,3.67
cs511,40,3.63
cs512,128,3.82
cs519,88,3.68
cs525,136,3.69
cs527,85,3.61
cs528,46,3.51
cs533,51,3.54
cs538,21,3.84
cs543,40,NA
cs546,39,3.64
cs548,26,3.83
cs554,26,3.5
cs555,55,3.76
cs556,27,3.56
cs563,26,3.88
cs565,25,3.75
cs598 Human-Computer Interaction,25,3.75
cs598 Advanced Data Structures,29,3.76
cs598 Advanced Information Retrieval,74,3.83
cs598 Data-Driven Design,43,3.69
cs598 Graphical Models,24,3.86
cs598 Improving Your Research Skills,28,3.88
cs598 Mach Lrng for Signal Processng,60,3.67
cs598 Machine Lrning Computation Bio,21,3.94
cs598 Parallel Programming,23,3.64
cs598 Topic in Algorithms,24,3.67
